Date,Open,High,Low,Close,Adj Close,Volume
6/22/2018,113.269997,113.57,111.709999,112.239998,106.81572,5030800
6/25/2018,111.669998,111.790001,108.580002,109.260002,103.979736,4559500
6/26/2018,109.510002,111.099998,109.480003,110.25,104.92189,3422200
6/27/2018,111.209999,111.93,109.330002,109.519997,104.227173,3412400
6/28/2018,109.129997,109.629997,107.68,109.110001,103.83699,2668200
6/29/2018,111.360001,112.800003,110.760002,110.830002,105.473862,3483600
7/2/2018,109.900002,110.220001,108.410004,109.230003,103.951187,3748500
7/3/2018,110.360001,110.529999,107.800003,108.169998,102.942413,2078100
7/5/2018,109.169998,109.470001,106.239998,107.529999,102.333336,3400600
7/6/2018,106.779999,108.68,105.949997,107.830002,102.618843,2461300
7/9/2018,108.300003,109.639999,108.160004,109.269997,103.98925,2726500
7/10/2018,109.769997,110.709999,108.529999,108.620003,103.370667,2648300
7/11/2018,107.910004,108.699997,105.900002,106.360001,101.219894,3512600
7/12/2018,107.099998,107.599998,105.540001,106.790001,101.629097,2992200
7/13/2018,106.620003,107.730003,106.160004,107.339996,102.152519,2500000
7/16/2018,107.279999,108.150002,106.139999,106.300003,101.162788,2548400
7/17/2018,106.199997,107.540001,105.669998,106.089996,100.962929,2590600
7/18/2018,105.540001,107.440002,103.75,106.650002,101.495872,3100500
7/19/2018,106.959999,107.650002,106.720001,107,101.828964,2564300
7/20/2018,106.68,107.339996,105.82,106.209999,101.077133,2291700
7/23/2018,106.860001,107.209999,105.760002,106.279999,101.143745,2542400
7/24/2018,106.550003,107.480003,106.400002,107.269997,102.085907,3347500
7/25/2018,107.419998,109.360001,107.019997,109.330002,104.046364,3309900
7/26/2018,109.709999,117.339996,109.279999,116.830002,111.183899,5408000
7/27/2018,116.449997,117.699997,115.339996,116.349998,110.727089,3308700
7/30/2018,117.220001,118.160004,116.169998,117.260002,111.593117,2930500
7/31/2018,117.459999,118.739998,117.459999,118.349998,112.630432,4034600
8/1/2018,116.610001,118.190002,115.519997,116.779999,111.136307,3411600
8/2/2018,115.68,115.949997,114.040001,115.330002,109.756393,2588100
8/3/2018,115.440002,116.330002,113.529999,115.379997,109.80397,2583000
8/6/2018,114.5,115.169998,113.82,114.889999,110.101051,2401100
8/7/2018,115.300003,117.779999,115.099998,116.709999,111.845184,2606700
8/8/2018,115.639999,116.220001,115.089996,115.900002,111.068954,2009600
8/9/2018,115.919998,116.300003,114.769997,115.139999,110.34063,2175600
8/10/2018,114.610001,115.510002,114.449997,115.370003,110.561043,2059300
8/13/2018,116.139999,116.900002,114.68,114.790001,110.005211,1875600
8/14/2018,115.43,116.010002,114.650002,115.050003,110.254387,1440200
8/15/2018,114.75,114.75,111.160004,111.519997,106.871521,3452500
8/16/2018,111.800003,112.379997,111.199997,111.32,106.679855,1875800
8/17/2018,111.949997,112.150002,110.610001,111,106.373199,1791100
8/20/2018,111.339996,114.050003,111.040001,113.400002,108.673164,2072200
8/21/2018,113.900002,115.379997,113.809998,114.139999,109.382317,2021700
8/22/2018,114.379997,116.370003,114.279999,115.68,110.858116,1670900
8/23/2018,115.459999,118.209999,115.150002,118.059998,113.138916,3151100
8/24/2018,118.449997,121.599998,118.410004,120.550003,115.525124,3448400
8/27/2018,121.080002,121.970001,120.75,121.209999,116.157616,2038100
8/28/2018,121.400002,122.419998,119.82,120.389999,115.371796,2062600
8/29/2018,120.389999,121.720001,119.529999,120.610001,115.582619,2525900
8/30/2018,121,121.379997,118.279999,119.050003,114.087646,2648100
8/31/2018,118.519997,118.629997,116.480003,117.879997,112.966415,3722500
9/4/2018,118.360001,121.220001,118.32,120.239998,115.228043,3372100
9/5/2018,119.239998,119.389999,116.910004,116.910004,112.03685,4506400
9/6/2018,117.339996,118.879997,115.300003,116.07,111.231857,3406600
9/7/2018,114.839996,115.889999,113.389999,115.080002,110.283134,2498200
9/10/2018,115.650002,116.550003,114.989998,115.25,110.446037,2451800
9/11/2018,114.93,116.309998,114.239998,115.099998,110.302299,2708100
9/12/2018,116.07,117.43,115.879997,116.309998,111.461853,3195200
9/13/2018,116.540001,117.480003,115.800003,116.830002,111.96019,2081500
9/14/2018,116.879997,117.809998,116.699997,117.129997,112.247673,1724500
9/17/2018,117.050003,117.379997,115.209999,115.459999,110.647293,1876000
9/18/2018,115.769997,116.599998,115.309998,115.330002,110.52272,2028300
9/19/2018,115.18,115.18,108.650002,109.699997,105.127388,5033500
9/20/2018,110.059998,111.629997,108.099998,110.480003,105.874878,3135600
9/21/2018,110.809998,112.970001,110.129997,112.239998,107.561508,4044500
9/24/2018,113.190002,116.160004,113.089996,114.959999,110.168137,3069900
9/25/2018,115.599998,117.699997,114.949997,116.760002,111.893105,3219300
9/26/2018,116.25,117.639999,114.629997,116.519997,111.663109,2492600
9/27/2018,117.220001,118.529999,114.940002,115.290001,110.484375,2281900
9/28/2018,114.589996,115.779999,113.410004,113.75,109.008568,2787400
10/1/2018,114.589996,115.849998,113.599998,113.879997,109.133141,2404600
10/2/2018,114.269997,115.610001,112.550003,115.519997,110.704781,3240600
10/3/2018,116.470001,120.720001,116.470001,119.989998,114.988464,3683800
10/4/2018,119.57,119.93,116.620003,117.220001,112.333931,2214000
10/5/2018,118.199997,118.459999,115.809998,117.110001,112.228516,1834100
10/8/2018,116.57,117.050003,115.150002,116.18,111.337288,2722600
10/9/2018,116.18,117.510002,115.349998,115.660004,110.838959,2400500
10/10/2018,116.139999,116.150002,110.75,110.839996,106.219864,3083000
10/11/2018,109.970001,111.379997,106.32,106.889999,102.434517,3478600
10/12/2018,107.800003,108.68,106.540001,108.25,103.737823,3502500
10/15/2018,108.239998,108.400002,103.68,103.790001,99.46373,3741700
10/16/2018,104.529999,106.190002,103.980003,105.910004,101.495369,2209400
10/17/2018,105.900002,106.099998,103.279999,103.739998,99.41581,3378800
10/18/2018,102.709999,104.849998,101.32,103.389999,99.080399,4018900
10/19/2018,98.169998,100.290001,92.5,92.760002,88.893501,11818100
